treatment,score
color_bollywood,0.5492328814469276
color_red,0.5352963060918947
primary_concept_teaspoon,0.3855807000000009
primary_concept_tail_of_spoon,0.2523486576392949
color_green,0.20241780159850986
color_olive,0.15144783993675037
color_gold,0.1341607567552503
primary_concept_head_of_spoon,0.12973065486652735
shape_oval,0.12211743399088792
shape_parallelogram,0.1055796963653014
color_darkgoldenrod,0.1020593429679324
shape_spoon,0.10189864058697062
primary_concept_head_of_butter_knife,0.09230567047619442
primary_concept_bottom_of_knife,0.07681255515515772
shape_rectangular,0.056195285174557075
shape_rectangle,0.0485361407506163
shape_square,0.04733631782844061
primary_concept_background_of_fork,0.04316791702534728
primary_concept_spoon,0.025730368742750476
color_silver,0.020370885308363174
primary_concept_head_of_knife,0.00865112402298307
color_grey,-0.4060734703767155
color_yellow,-0.3861802148990062
primary_concept_bottom_of_spatula,-0.37642773418094305
primary_concept_kitchen_spoon,-0.3731081652380883
primary_concept_spatula,-0.37040665265624206
color_goldenrod,-0.3568568495729978
primary_concept_shadow_of_spatula,-0.35435579990931065
primary_concept_guitar,-0.35286073962358977
primary_concept_sides_of_background,-0.3478630133333287
primary_concept_bottom_of_utensil,-0.3127538981005106
primary_concept_head_of_spatula,-0.3064777254994068
shape_curve,-0.272238686538135
shape_fork shape,-0.27081546926402345
color_black,-0.25582337952760137
primary_concept_butter_knife,-0.24236438791455095
color_cornstalk,-0.22558863240241894
primary_concept_top_of_spatula,-0.2114628200767077
primary_concept_fork,-0.18054048616069085
primary_concept_top_of_background,-0.17624691822346283
shape_semicircle,-0.17624691822346217
primary_concept_side_of_background,-0.1726826119758263
primary_concept_background,-0.17148470872907323
primary_concept_knife,-0.1478878041111128
primary_concept_middle_of_background,-0.06012287147242784
primary_concept_handle_of_spatula,-0.04905847252331663
color_blue,-0.022302585940921604
primary_concept_head_of_fork,-0.01704756492177939
color_white,-0.004140514285714381
