colors,y,id,primary_concept,part,shapes
white,0.43673843,1010,rope,,
green,0.11673179,1070,insect,,
grey,0.11673179,1070,buildings,,
beige,0.9114742,1087,insect,,
grey,0.05796378,1201,animal,scales,trapezoidal
grey,0.05796378,1201,animal,scales,trapezoidal
brown,0.05796378,1201,ants,body,oval
orange,0.05796378,1201,ants,tail,oval
silver,0.10856615,1156,box,top,god
black,0.10104953,1235,trash_bag,,
brown,0.10104953,1235,ants,,
grey,0.14927578,1210,pile,,sphere
green,0.14927578,1210,background,,oval
brown,0.14927578,1210,background,,rectangular
grey,0.14927578,1210,wall,,rectangular
black,0.9927447,1052,bee,,oval
yellow,0.9927447,1052,bee,,oval
green,0.0940114,1030,grasshopper,,
white,0.0940114,1030,background,,
black,0.0940114,1030,background,,
white,0.0940114,1030,background,,
brown,0.84189844,1066,seal,,
blue,0.84189844,1066,water_background,,
white,0.049914394,1039,toiletpaper,toiletpaper,
green,0.049914394,1039,insect,,
grey,0.049914394,1039,insect,,
light,0.049914394,1039,storage_box,onesie,
brown,0.049914394,1039,storage_box,onesie,
red,0.16115466,1015,wheel,middle,circle
yellow,0.16115466,1015,wheel,outercircle,circle
beige,0.054986935,1151,dog,legs,
grey,0.054986935,1151,pump,bottom-right-corner,round
black,0.054986935,1151,pump,top-left,round
green,0.0668046,1023,grasshopper,head,
blue,0.2913298,1168,branding_paper,,
white,0.2913298,1168,text,,
white,0.2913298,1168,bottle,,
blue,0.2913298,1168,bottle_cap,,
white,0.2913298,1168,pipe,,
black,0.2913298,1168,ant,,
white,0.2913298,1168,wall,,
white,0.9678748,1159,bicycle,middle,tubular
yellow,0.9678748,1159,bee,,
brown,0.01161607,1162,tree,,tree
green,0.01161607,1162,tree,top-left,plant
clear,0.9512989,1194,bottle,,round
red,0.7158448,1170,sign,,triangle
white,0.7158448,1170,sign,,triangle
white,0.0697308,1046,notebook,middle,
white,0.0697308,1046,plastic_box,,
yellow,0.66910464,1081,bee,,
black,0.66910464,1081,bee,,
gold,0.66910464,1081,bee,,
white,0.66910464,1081,note,,rectangular
white,0.66910464,1081,photo_of_kid,,square
blue,0.66910464,1081,background,,
yellow,0.83437634,1191,bee,top,circle
white,0.040990893,1002,clock,,round
dark,0.040990893,1002,clock,,round
brown,0.040990893,1002,clock,,round
black,0.040990893,1002,clock,,round
light,0.040990893,1002,mantis,,mantis
green,0.040990893,1002,mantis,,mantis
blue,0.07959028,1005,grasshopper,,
grey,0.035274386,1209,door,,rectangular
grey,0.035274386,1209,doormat,,square
chocolate,0.014719547,974,leaf,bottom,irregular
red,0.123885795,1099,praying_mantis,,line
pink,0.7085096,1199,finger,top,
white,0.7085096,1199,bottle,head,circle
brown,0.7085096,1199,furniture,bottom,
dark,0.05317811,998,window,,rectangular
brown,0.05317811,998,window,,rectangular
white,0.05317811,998,window,glass,rectangular
white,0.05317811,998,hand,,hand
orange,0.05317811,998,mantis,,mantis
green,0.05317811,998,mantis,,mantis
white,0.05317811,998,glass,reflection,man
red,0.05317811,998,pen,,pen
black,0.05317811,998,pen,,pen
red,0.92504215,1226,camera,,
white,0.92504215,1226,background,,
