colors,y,id,primary_concept,part,shapes
white,0.32182947,1010,rope,,
green,0.7927199,1070,insect,,
grey,0.7927199,1070,buildings,,
beige,0.018742995,1087,insect,,
grey,0.2745186,1201,animal,scales,trapezoidal
grey,0.2745186,1201,animal,scales,trapezoidal
brown,0.2745186,1201,ants,body,oval
orange,0.2745186,1201,ants,tail,oval
silver,0.14068875,1156,box,top,god
black,0.22460979,1235,trash_bag,,
brown,0.22460979,1235,ants,,
grey,0.122600004,1210,pile,,sphere
green,0.122600004,1210,background,,oval
brown,0.122600004,1210,background,,rectangular
grey,0.122600004,1210,wall,,rectangular
black,0.005141134,1052,bee,,oval
yellow,0.005141134,1052,bee,,oval
green,0.68494785,1030,grasshopper,,
white,0.68494785,1030,background,,
black,0.68494785,1030,background,,
white,0.68494785,1030,background,,
brown,0.11349434,1066,seal,,
blue,0.11349434,1066,water_background,,
white,0.88727665,1039,toiletpaper,toiletpaper,
green,0.88727665,1039,insect,,
grey,0.88727665,1039,insect,,
light,0.88727665,1039,storage_box,onesie,
brown,0.88727665,1039,storage_box,onesie,
red,0.019627277,1015,wheel,middle,circle
yellow,0.019627277,1015,wheel,outercircle,circle
beige,0.87095463,1151,dog,legs,
grey,0.87095463,1151,pump,bottom-right-corner,round
black,0.87095463,1151,pump,top-left,round
green,0.9268875,1023,grasshopper,head,
blue,0.055437114,1168,branding_paper,,
white,0.055437114,1168,text,,
white,0.055437114,1168,bottle,,
blue,0.055437114,1168,bottle_cap,,
white,0.055437114,1168,pipe,,
black,0.055437114,1168,ant,,
white,0.055437114,1168,wall,,
white,0.024131417,1159,bicycle,middle,tubular
yellow,0.024131417,1159,bee,,
brown,0.9670163,1162,tree,,tree
green,0.9670163,1162,tree,top-left,plant
clear,0.029141894,1194,bottle,,round
red,0.22863653,1170,sign,,triangle
white,0.22863653,1170,sign,,triangle
white,0.042855248,1046,notebook,middle,
white,0.042855248,1046,plastic_box,,
yellow,0.30295414,1081,bee,,
black,0.30295414,1081,bee,,
gold,0.30295414,1081,bee,,
white,0.30295414,1081,note,,rectangular
white,0.30295414,1081,photo_of_kid,,square
blue,0.30295414,1081,background,,
yellow,0.14540833,1191,bee,top,circle
white,0.94810665,1002,clock,,round
dark,0.94810665,1002,clock,,round
brown,0.94810665,1002,clock,,round
black,0.94810665,1002,clock,,round
light,0.94810665,1002,mantis,,mantis
green,0.94810665,1002,mantis,,mantis
blue,0.87934,1005,grasshopper,,
grey,0.9396117,1209,door,,rectangular
grey,0.9396117,1209,doormat,,square
chocolate,0.026041623,974,leaf,bottom,irregular
red,0.85606796,1099,praying_mantis,,line
pink,0.1424991,1199,finger,top,
white,0.1424991,1199,bottle,head,circle
brown,0.1424991,1199,furniture,bottom,
dark,0.87433904,998,window,,rectangular
brown,0.87433904,998,window,,rectangular
white,0.87433904,998,window,glass,rectangular
white,0.87433904,998,hand,,hand
orange,0.87433904,998,mantis,,mantis
green,0.87433904,998,mantis,,mantis
white,0.87433904,998,glass,reflection,man
red,0.87433904,998,pen,,pen
black,0.87433904,998,pen,,pen
red,0.048518397,1226,camera,,
white,0.048518397,1226,background,,
