colors,y,id,primary_concept,part,shapes
silver,0.0017791091,951,spoon,,
black,0.9863382,907,guitar,,
yellow,0.9863382,907,background,,
blue,0.9717819,956,spatula,head,square
silver,0.0005479131,773,spoon,head,oval
silver,0.0005479131,773,spoon,handle,trapezoidal
silver,0.048478402,749,fork,,
olive,0.00022160029,775,background,,
silver,0.00022160029,775,spoon,head,round
silver,0.00022160029,775,spoon,handle,straight
silver,0.12492193,792,fork,spikes,rectangular
silver,0.12492193,792,fork,tail,circle
yellow,0.3582497,860,knife,handle,
yellow,0.3582497,860,background,,
silver,0.7836557,783,spoon,,oval
black,0.7836557,783,background,,square
black,0.98613226,927,spoon,,oval
green,0.98613226,927,background,,square
black,0.92121726,941,spatula,,
yellow,0.92121726,941,paper,,
brown,0.92121726,941,background,,
black,0.93031114,789,spatula,,
green,0.93031114,789,background,,
red,0.86984605,966,spatula,,
green,0.86984605,966,background,,
silver,0.008121877,865,spoon,,
green,0.008121877,865,background,,
silver,0.0024240324,719,spoon,,
olivedrab,0.0024240324,719,background,,
gold,0.0017446509,878,spoon,,
gold,0.8796542,705,spatula,,
gray,0.48067227,959,fork,,fork
black,0.48067227,959,fork,handle,cylinder
gold,0.021865651,736,fork,,
green,0.021865651,736,background,,
white,0.43254578,875,background,,
silver,0.025048196,908,knife,,
bollywood,0.025048196,908,knife_handle,,
yellow,0.025048196,908,background,,
black,0.9656622,898,background,,
brown,0.9656622,898,spatula,head,
blue,0.33413574,721,fork,top,long
silver,0.00020168758,778,spoon,,
yellow,0.00020168758,778,background,,
black,0.9662773,742,guitar,,
blue,0.0025307138,688,spoon,,
gold,0.0013404528,715,spoon,head,oval
silver,0.0038502077,734,knife,head,triangle
silver,0.0038502077,734,knife,handle,oval
green,0.0038502077,734,photo,background,square
silver,0.116484806,948,knife,,
green,0.116484806,948,background,,
violet,0.116484806,948,background,bottom-left,semicircle
white,0.008864938,765,spoon,top-left,rectangle
silver,6.254449e-05,849,spoon,head,oval
silver,6.254449e-05,849,spoon,handle,oval
green,6.254449e-05,849,photo,background,square
black,0.9877238,969,spatula,,
gold,0.9877238,969,spatula,,
green,0.9877238,969,background,,
purple,0.9877238,969,spatula,side,
blue,0.9877238,969,spatula,shade,
silver,0.013852079,708,fork,,
green,0.013852079,708,background,,
golden,2.1277046e-05,841,spoon,,
green,2.1277046e-05,841,background,,
silver,0.012624442,930,knife,,
black,0.012624442,930,background,,
