colors,y,id,primary_concept,part,shapes
brown,0.9802864,181,spoon,handle,rectangular
brown,0.9802864,181,spoon,head,round
yellow,0.9802864,181,background,,square
black,0.1462047,227,background,,
silver,0.1462047,227,butter_knife,,
silver,0.41531184,303,spoon,head,
brown,0.12919904,362,spatula,,
silver,0.60295624,258,fork,,
green,0.60295624,258,background,,
silver,0.95927835,359,teaspoon,head,oval
green,0.12737519,293,background,,
silver,0.12737519,293,spatula,,
bronze,0.9862213,368,spoon,,
yellow,0.9862213,368,background,,
silver,0.19451277,363,fish_knife,,
red,0.19451277,363,background,,
grey,0.12285129,277,background,,
black,0.12285129,277,spatula,middle_of_the_handle,
black,0.12285129,277,spatula,bottom,oval
silver,0.47240442,269,fork,,rectangular
silver,0.47240442,269,fork,handle,rectangular
lightbronze,0.03623653,185,butter_knife,,
black,0.03623653,185,background,,
yellow,0.6544557,296,background,,square
golden,0.6544557,296,fork,,
silver,0.056087065,274,spatula,,
green,0.056087065,274,background,,
aquamarine,0.9884349,92,teaspoon,tail,
silver,0.66881156,99,spoon,,
green,0.66881156,99,background,,
silver,0.07726561,153,knife,,
black,0.07726561,153,background,middle,
silver,0.7697398,140,butter_knife,,
black,0.12068494,166,spatula,,triangular
yellow,0.12068494,166,background,,
silver,0.5034328,183,spoon,,
green,0.5034328,183,background,,
silver,0.14536893,328,spatula,,
silver,0.14536893,328,spatula,handle,cylindrical
black,0.045113083,344,spatula,handle,rectangle
silver,0.066016026,169,butter_knife,,
gold,0.4063375,353,spoon,,
green,0.4063375,353,background,,
grey,0.9445951,135,teaspoon,,teaspoon
green,0.9445951,135,background,,
red,0.062453855,326,guitar_keychain,,
blue,0.062453855,326,background,,
grey,0.94334686,276,spoon,,
green,0.94334686,276,background,,
silver,0.45842505,172,fork,,long
yellow,0.45842505,172,background,,
silver,0.87241286,237,knife,,
green,0.87241286,237,background,,
silver,0.4707227,268,tablespoon,,
green,0.4707227,268,background,,
silver,0.16843136,366,spatula,,
green,0.16843136,366,background,,
black,0.09954984,139,spatula,,spatula
silver,0.09954984,139,spatula,,spatula
green,0.09954984,139,background,,
silver,0.78861284,316,spoon,,
green,0.78861284,316,background,,
silver,0.78861284,316,spoon,light_reflections,
green,0.78861284,316,background,light_reflections,
green,0.78861284,316,background,texture,
