colors,y,id,primary_concept,part,shapes
darkviolet,0.0036999127,614,spatula,,
green,0.1068697,417,shadow,,
green,0.1068697,417,background,,
silver,0.1068697,417,spatula,,
silver,0.3390401,501,fork,head,rectangular
silver,0.3390401,501,fork,handle,rectangular
golden,0.00533926,589,spoon,,
yellow,0.00533926,589,background,left,
black,0.091312766,574,spatula,,
yellow,0.091312766,574,label,,
cornstalk,5.7198105e-13,603,background,middle,rectangle
blue,9.5846615e-11,436,spatula,head,parallelogram
yellow,9.5846615e-11,436,spatula,tail,cylinder
goldenrod,0.038456574,450,knife,head,oval
goldenrod,0.038456574,450,knife,bottom,rectangular
black,0.038456574,450,knife,background,square
black,4.1547315e-05,492,spatula,,
yellow,4.1547315e-05,492,background,,
silver,0.0007582704,660,butter_knife,,
red,0.0007582704,660,background,,
silver,0.0,517,knife,,
blue,0.0,517,background,,
silver,0.050835475,409,spoon,,
yellow,0.050835475,409,background,,flat
white,0.00015514717,416,spoon,head,
white,2.412536e-05,590,spoon,copyright,
black,0.00027868486,529,spatula,,spatula
silver,0.15172575,522,spoon,,
green,0.15172575,522,background,,
blue,0.031684443,461,spatula,middle,linear
black,0.07644239,524,background,,
bollywood,0.07644239,524,knife,top,
green,0.002581148,466,background,,
silver,0.002581148,466,knife,middle,
silver,0.096873656,570,spoon,,
green,0.096873656,570,background,,
grey,0.35624796,549,spoon,border,
green,0.35624796,549,background,,
silver,0.1991893,579,spoon,,
olive,0.1991893,579,background,,
grey,0.014781506,539,knife,,line
green,0.014781506,539,background,,
black,0.2190784,428,background,bottom,
khaki,0.2190784,428,spatula,middle,
aquamarine,4.0975883e-05,650,spoon,head,round
cyan,0.030377587,527,spatula,,long
aquamarine,0.099898875,448,spoon,top,round
silver,0.19518423,403,spoon,,
green,0.19518423,403,background,,
silver,0.0794927,489,spoon,head,oval
green,0.0794927,489,photo,background,square
silver,0.0794927,489,spoon,handle,oval
silver,0.006970781,475,fork,bottom,square
steel,0.0013178682,634,butter_knife,,
blue,0.008818334,652,spoon,,
green,0.008818334,652,background,,
silver,0.019326396,400,spoon,,oval
beige,0.019326396,400,spoon,handle,cylinder
green,0.019326396,400,background,,
brown,0.001988819,496,spatula,bottom,
silver,0.001988819,496,spatula,top,
green,0.001988819,496,background,,
green,0.0847523,561,backgroud,,
silver,0.0847523,561,spoon,,
silver,0.45806685,483,tablespoon,,
green,0.45806685,483,background,,
silver,0.0090179145,490,tablespoon,,
yellow,0.0090179145,490,background,,
black,0.007879969,495,background,,
darkgoldenrod,0.007879969,495,fork,,
