colors,y,id,primary_concept,part,shapes
brown,0.117161945,1713,hive,,
white,0.98847175,1503,locust,,
blue,0.98847175,1503,locust,head,
darkgoldenrod,0.033593796,1763,bee,,
blue,0.033593796,1763,bee,head,
green,0.101686776,1625,leaf,,leaf_blade
azure,1.9750312e-05,1751,ant,,round
skin,0.9769695,1543,fingers,,
black,0.9769695,1543,wire,,
white,0.9769695,1543,window_shades,,
silver,0.9769695,1543,ant_statue,,
green,0.0014730523,1640,leaf,,
yellow,0.0052713286,1552,bee,,
black,0.0052713286,1552,bee,,
azure,8.297972e-07,1671,keyboard,handle,square
brown,0.00089575455,1664,insect,,
transplant,0.00085952727,1757,water_bottle,,
azure,0.9929415,1766,insect,middle,circus
bisque,0.013664326,1647,wood,,
black,0.013664326,1647,ant,,
black,0.9925653,1548,praying_mantis,,
black,0.9925653,1548,tree,,
grey,0.9925653,1548,tree,string,
green,0.9925653,1548,leaf,,
blue,0.9925653,1548,house_windows,,
gray,0.01998969,1688,gravel_road,,
maroon,0.01998969,1688,sweater,,
silver,0.01998969,1688,can,top_left,opening_of_the_can
green,0.01998969,1688,grass,bottom_right,
green,0.99997234,1659,insect,,
yellow,0.99997234,1659,cups,,
black,0.99997234,1659,background,,
black,0.05911303,1767,infested_trash_can,,round
white,0.000505423,1624,glass_jar,bottom,
grey,0.000505423,1624,label,,rectangle
brown,0.000505423,1624,fingers,,
brown,0.000505423,1624,background,,
white,0.0014514505,1541,petri_dish,,round
green,0.0014514505,1541,petri_dish,copyright,oval
black,0.0014514505,1541,petri_dish,bottom,
aquamarine,0.118545726,1712,plant,side,square
blue,0.00025791285,1577,can,top,circle
yellow,0.00025791285,1577,can,top,circle
red,0.00025791285,1577,can,top,circle
grey,0.046741728,1761,shoe,middle,
red,0.046741728,1761,flip_flop,middle,
orange,0.09817683,1649,leaf,,
cornstalk,0.9812929,1536,basket,,round
plum,0.9812929,1536,basket,inside,round
green,0.8518801,1630,mantis,head_and_torso,oval
yellow,0.8518801,1630,mantis,legs,long
green,0.8518801,1630,tree,leaves,long
green,0.8518801,1630,tree,branches,long
brown,0.8518801,1630,photo,background,square
diagram,0.007873418,1759,cup,,round
plum,0.007873418,1759,background,,
green,0.9768784,1697,mantis,,
brown,0.0036395183,1506,leaf,,
brown,0.0036395183,1506,ant,,
blue,0.0036395183,1506,leaf,side,splotches
silver,0.98897064,1635,prunes,top,crescent
silver,0.04057854,1643,drinking_fountain,top,
brown,0.04057854,1643,ground,,
black,0.88985664,1564,bicycle,handlebar,
black,0.88985664,1564,bicycle,wheel,
blue,0.88985664,1564,bicycle,bell,
yellow,0.008208428,1584,bee,,
lightgray,0.008208428,1584,backpack,,
blue,0.027696017,1570,bicycle_bidon,,
grey,0.027696017,1570,background,,
yellow,0.027696017,1570,bee,,
orange,0.027696017,1570,bee,,
black,0.027696017,1570,bee,,
