colors,y,id,primary_concept,part,shapes
silver,0.04108774,1818,spatula,,
green,0.04108774,1818,background,,
silver,0.96028864,1842,knife,,
black,0.96028864,1842,background,,
silver,0.004392999,1917,spoon,,
green,0.004392999,1917,background,,
silver,0.038662102,1795,spoon,,
green,0.038662102,1795,background,,
silver,0.005821122,1835,spoon,,
green,0.005821122,1835,background,,
red,0.049287874,2061,spatula,,middle part
green,0.049287874,2061,background,,flat
yellow,0.007859822,1974,background,,flat
silver,0.007859822,1974,spoon,,bowl and neck
silver,0.038118508,1930,spoon,,
black,0.038118508,1930,string,,
green,0.038118508,1930,background,,
grey,0.96267784,1775,fork,,
green,0.96267784,1775,background,,
black,0.00016759423,2036,spatula,,
green,0.00016759423,2036,background,middle,rectangle
bollywood,0.00016759423,2036,background,,
silver,0.006552494,1913,spoon,,
green,0.006552494,1913,background,,
black,0.006552494,1913,wire,,
yellow,0.006552494,1913,bulb,,
azure,0.9864841,1972,fork,middle,long
gold,0.005431956,1933,spoon,,spoon
green,0.005431956,1933,background,,flat
silver,0.0030349314,2038,spoon,,spoon
green,0.0030349314,2038,background,,flat
gray,0.9918057,2052,knife,,knife
red,0.060770486,2060,pasta_server,,
green,0.060770486,2060,background,,
green,0.0066024493,2022,background,,
black,0.0066024493,2022,spatula,handle,
black,0.0066024493,2022,spatula,head,
silver,0.009256535,1797,spatula,handle,rectangle
olive,0.012389551,1781,background,,
silver,0.012389551,1781,spoon,,
grey,0.03433874,1982,spatula,top,
green,0.03433874,1982,background,,
blue,0.946907,1989,knife,,
blue,0.03351127,1777,spatula,,
silver,0.0636315,1897,spatula,,spatula-shaped
green,0.0636315,1897,background,,
white,0.94106686,1859,fork,top,scalene triangle
silver,0.0037609334,2005,spoon,,
plum,0.0037609334,2005,background,,
gold,0.9677224,1857,fork,,
purple,0.9677224,1857,background,,
white,0.9417243,1948,knife,top-left,rectangle
blue,0.8515922,2029,fork,,
green,0.8515922,2029,background,,
blue,0.0049339538,1780,teaspoon,,
purple,0.11668589,2006,spatula,head,square
purple,0.11668589,2006,spatula,handle,long
aqua,0.003197084,1944,teaspoon,,
green,0.9671062,1869,background,,
white,0.9671062,1869,knife,,handle
steel,0.9671062,1869,knife,edge,edge
silver,0.018510347,1856,spoon,,
green,0.018510347,1856,background,,
white,0.018510347,1856,spoon,spoon_light_reflection,
green,0.018510347,1856,background,textura/line,
silver,0.9154625,1841,knife,,
black,0.9154625,1841,background,,
silver,0.01785457,1805,spoon,,
silver,0.01785457,1805,spoon,light_reflection,
green,0.01785457,1805,background,,
green,0.01785457,1805,background,textures,
green,0.01785457,1805,background,light_gradient,
