colors,y,id,primary_concept,part,shapes
silver,0.95749444,1818,spatula,,
green,0.95749444,1818,background,,
silver,0.0062384726,1842,knife,,
black,0.0062384726,1842,background,,
silver,0.0011165079,1917,spoon,,
green,0.0011165079,1917,background,,
silver,0.0072612884,1795,spoon,,
green,0.0072612884,1795,background,,
silver,0.00092382345,1835,spoon,,
green,0.00092382345,1835,background,,
red,0.95049363,2061,spatula,,middle part
green,0.95049363,2061,background,,flat
yellow,0.0033731072,1974,background,,flat
silver,0.0033731072,1974,spoon,,bowl and neck
silver,0.015817234,1930,spoon,,
black,0.015817234,1930,string,,
green,0.015817234,1930,background,,
grey,0.03674229,1775,fork,,
green,0.03674229,1775,background,,
black,0.99982953,2036,spatula,,
green,0.99982953,2036,background,middle,rectangle
bollywood,0.99982953,2036,background,,
silver,0.0031474263,1913,spoon,,
green,0.0031474263,1913,background,,
black,0.0031474263,1913,wire,,
yellow,0.0031474263,1913,bulb,,
azure,0.0027316115,1972,fork,middle,long
gold,0.014814143,1933,spoon,,spoon
green,0.014814143,1933,background,,flat
silver,0.0005715139,2038,spoon,,spoon
green,0.0005715139,2038,background,,flat
gray,0.0024453145,2052,knife,,knife
red,0.9390499,2060,pasta_server,,
green,0.9390499,2060,background,,
green,0.99334854,2022,background,,
black,0.99334854,2022,spatula,handle,
black,0.99334854,2022,spatula,head,
silver,0.990213,1797,spatula,handle,rectangle
olive,0.0036727847,1781,background,,
silver,0.0036727847,1781,spoon,,
grey,0.96535224,1982,spatula,top,
green,0.96535224,1982,background,,
blue,0.005976887,1989,knife,,
blue,0.9659999,1777,spatula,,
silver,0.93290156,1897,spatula,,spatula-shaped
green,0.93290156,1897,background,,
white,0.004083535,1859,fork,top,scalene triangle
silver,0.0036322677,2005,spoon,,
plum,0.0036322677,2005,background,,
gold,0.0067271166,1857,fork,,
purple,0.0067271166,1857,background,,
white,0.007937475,1948,knife,top-left,rectangle
blue,0.0076573375,2029,fork,,
green,0.0076573375,2029,background,,
blue,0.0023186433,1780,teaspoon,,
purple,0.8777273,2006,spatula,head,square
purple,0.8777273,2006,spatula,handle,long
aqua,0.0021930698,1944,teaspoon,,
green,0.024926824,1869,background,,
white,0.024926824,1869,knife,,handle
steel,0.024926824,1869,knife,edge,edge
silver,0.007967524,1856,spoon,,
green,0.007967524,1856,background,,
white,0.007967524,1856,spoon,spoon_light_reflection,
green,0.007967524,1856,background,textura/line,
silver,0.005269476,1841,knife,,
black,0.005269476,1841,background,,
silver,0.0072520366,1805,spoon,,
silver,0.0072520366,1805,spoon,light_reflection,
green,0.0072520366,1805,background,,
green,0.0072520366,1805,background,textures,
green,0.0072520366,1805,background,light_gradient,
