colors,y,id,primary_concept,part,shapes
silver,0.0014177689,1818,spatula,,
green,0.0014177689,1818,background,,
silver,0.033472914,1842,knife,,
black,0.033472914,1842,background,,
silver,0.9944905,1917,spoon,,
green,0.9944905,1917,background,,
silver,0.95407665,1795,spoon,,
green,0.95407665,1795,background,,
silver,0.993255,1835,spoon,,
green,0.993255,1835,background,,
red,0.00021850376,2061,spatula,,middle part
green,0.00021850376,2061,background,,flat
yellow,0.9887671,1974,background,,flat
silver,0.9887671,1974,spoon,,bowl and neck
silver,0.94606423,1930,spoon,,
black,0.94606423,1930,string,,
green,0.94606423,1930,background,,
grey,0.0005798458,1775,fork,,
green,0.0005798458,1775,background,,
black,2.8376776e-06,2036,spatula,,
green,2.8376776e-06,2036,background,middle,rectangle
bollywood,2.8376776e-06,2036,background,,
silver,0.99030006,1913,spoon,,
green,0.99030006,1913,background,,
black,0.99030006,1913,wire,,
yellow,0.99030006,1913,bulb,,
azure,0.010784288,1972,fork,middle,long
gold,0.9797539,1933,spoon,,spoon
green,0.9797539,1933,background,,flat
silver,0.9963935,2038,spoon,,spoon
green,0.9963935,2038,background,,flat
gray,0.0057490356,2052,knife,,knife
red,0.00017955208,2060,pasta_server,,
green,0.00017955208,2060,background,,
green,4.8966904e-05,2022,background,,
black,4.8966904e-05,2022,spatula,handle,
black,4.8966904e-05,2022,spatula,head,
silver,0.0005305173,1797,spatula,handle,rectangle
olive,0.9839377,1781,background,,
silver,0.9839377,1781,spoon,,
grey,0.00030903672,1982,spatula,top,
green,0.00030903672,1982,background,,
blue,0.047116145,1989,knife,,
blue,0.00048885884,1777,spatula,,
silver,0.0034668322,1897,spatula,,spatula-shaped
green,0.0034668322,1897,background,,
white,0.054849636,1859,fork,top,scalene triangle
silver,0.99260676,2005,spoon,,
plum,0.99260676,2005,background,,
gold,0.025550477,1857,fork,,
purple,0.025550477,1857,background,,
white,0.050338235,1948,knife,top-left,rectangle
blue,0.14075044,2029,fork,,
green,0.14075044,2029,background,,
blue,0.99274737,1780,teaspoon,,
purple,0.0055868197,2006,spatula,head,square
purple,0.0055868197,2006,spatula,handle,long
aqua,0.99460983,1944,teaspoon,,
green,0.007966928,1869,background,,
white,0.007966928,1869,knife,,handle
steel,0.007966928,1869,knife,edge,edge
silver,0.97352207,1856,spoon,,
green,0.97352207,1856,background,,
white,0.97352207,1856,spoon,spoon_light_reflection,
green,0.97352207,1856,background,textura/line,
silver,0.079268016,1841,knife,,
black,0.079268016,1841,background,,
silver,0.97489345,1805,spoon,,
silver,0.97489345,1805,spoon,light_reflection,
green,0.97489345,1805,background,,
green,0.97489345,1805,background,textures,
green,0.97489345,1805,background,light_gradient,
