colors,y,id,primary_concept,part,shapes
green,0.2295615,2189,background,,
silver,0.2295615,2189,fork,,
beige,0.9890126,2256,knife,handle,
green,0.9890126,2256,background,,
silver,0.41569924,2175,spatula,,
black,0.41569924,2175,background,,
red,0.002038395,2087,spatula,,
green,0.002038395,2087,background,,
silver,0.018823165,2173,metal_drainer/spatula,,
blue,0.018823165,2173,background,,
gold,0.9881159,2124,spoon,,
yellow,0.9881159,2124,background,,
black,0.010571341,2351,fork,,curve
black,0.010571341,2351,fork,tail,straight
silver,0.78773445,2202,teaspoon,,
silver,0.10336372,2272,knife,head,rectangle with curved edges
silver,0.10336372,2272,knife,bottom,rectangle
brown,0.10336372,2272,background,middle,square
lightbronze,0.2836044,2320,butter_knife,,
silver,0.010052183,2114,spatula,,
green,0.010052183,2114,background,,
silver,0.15809353,2274,knife,,rectangular
maroon,0.15809353,2274,knife,background,square
silver,0.9926144,2086,fork,,rectangular
olive,0.9926144,2086,fork,background,square
palegoldenrod,0.1946731,2269,fork,,rectangular
black,0.1946731,2269,fork,background,square
aqua,0.5287827,2287,teaspoon,head,
black,0.0069267354,2319,spatula,,
black,0.0069267354,2319,spatial,bottom-right-corner,
silver,0.90850586,2169,spoon,,
green,0.90850586,2169,background,,
gray,0.99884427,2179,spoon,,spoon
silver,0.007717495,2091,fork,,fork
red,0.007717495,2091,fork,handle,
blue,0.28019395,2090,knif,middle,linear
gold,0.98508435,2128,fork,head,fork shape
grey,0.98238593,2158,fork,,fork
green,0.98238593,2158,background,,
bronze,0.98641855,2258,spoon,,flower floral
grey,0.49255902,2308,spatula,,
silver,0.9861937,2323,knife,,long
yellow,0.9861937,2323,knife,,long
yellow,0.9861937,2323,background,,
blue,0.39411825,2117,spatula,,
darkgray,0.39411825,2117,background,,
silver,0.9133192,2309,spoon,,
silver,0.011529049,2361,scraper,bottom,
black,0.011529049,2361,scraper,top,
green,0.011529049,2361,background,,
white,0.99610645,2092,spoon,,spoon and long
white,0.10088773,2261,fork,top,rectangle
silver,0.0042201704,2072,fork,,
green,0.0042201704,2072,background,,
silver,0.0063378867,2247,spatula,,
green,0.0063378867,2247,background,,
silver,0.050394215,2279,spatula,,
green,0.050394215,2279,background,,
black,0.050394215,2279,background,middle,line
golden,0.9905844,2230,spoon,,
green,0.9905844,2230,background,,
silver,0.021072233,2321,fork,,
white,0.021072233,2321,fork,light_reflections,
green,0.021072233,2321,background,,
green,0.021072233,2321,background,light_gradient,
green,0.12958664,2168,background,,
silver,0.12958664,2168,utensil,bottom,ellipse
silver,0.4867449,2195,spatula,,
brown,0.4867449,2195,spatula,,
darkgray,0.4867449,2195,spatula,textures,
brown,0.4867449,2195,spatula,texture,
green,0.4867449,2195,background,,
green,0.4867449,2195,background,texture/line,
green,0.4867449,2195,background,light_gradients,
