colors,y,id,primary_concept,part,shapes
silver,0.8532001,2576,spatula,,
green,0.8532001,2576,background,,
yellow,0.007237947,2408,spoon,head,oval
yellow,0.007237947,2408,spoon,tail,rectangle
green,0.007237947,2408,background,middle,square
gold,0.07134108,2383,fork,,curve
blue,0.07134108,2383,fork,head,curve
yellow,0.16449861,2416,fork,,
black,0.16449861,2416,background,,
cornstalk,0.23670545,2510,knife,head,parallelogram
cornstalk,0.23670545,2510,knife,tail,oval
silver,0.04407734,2382,knife,head,rectangular
silver,0.04407734,2382,knife,bottom,rectangle
green,0.04407734,2382,background,middle,square
silver,0.07868029,2367,knife,,oval
green,0.07868029,2367,background,,square
silver,0.0385319,2531,butter_knife,,oval
black,0.0385319,2531,background,,square
silver,0.00017039133,2551,spoon,,oval
green,0.00017039133,2551,background,,square
silver,0.03597426,2589,fork,,rectangular
green,0.03597426,2589,fork,background,square
red,0.0029126685,2441,background,top,semicircle
yellow,0.0029126685,2441,spoon,head,oval
blue,0.0029126685,2441,spoon,tail,rectangle
gold,0.05983903,2435,knife,,
black,0.05983903,2435,background,,
goldenrod,0.26972568,2561,fork,,
black,0.26972568,2561,background,,
darkgoldenrod,0.003383481,2527,spoon,,
green,0.003383481,2527,background,,
bollywood,0.13655081,2540,butter_knife,,
black,0.13655081,2540,background,,
black,0.9824378,2422,spatula,,
grey,0.9824378,2422,spatula,handle,
black,0.9824378,2422,spatula,shadow,
green,0.9824378,2422,background,,
silver,0.00048717248,2599,spoon,,
olive,0.00048717248,2599,background,,
black,0.40471599,2630,spatula,,
yellow,0.40471599,2630,background,,
black,0.6669013,2390,spatula,,
green,0.6669013,2390,background,,
gold,0.028706353,2443,fork,head,fork shape
silver,0.17994145,2528,cake_lifter,,
green,0.17994145,2528,background,,
grey,0.010470943,2490,fork,,
green,0.010470943,2490,background,,
gold,0.0004062469,2400,spoon,,
gold,0.0004062469,2400,spoon,,
green,0.0004062469,2400,background,,
gold,0.0004062469,2400,spoon,,
green,0.0004062469,2400,background,,
gold,0.0004062469,2400,spoon,,
green,0.0004062469,2400,background,,
gold,0.0004062469,2400,spoon,,
green,0.0004062469,2400,background,,
black,0.9918195,2596,guitar,,
yellow,0.9918195,2596,background,,
silver,0.99526155,2587,spatula,head,square
white,0.008524827,2459,spoon,,spoon
blue,0.05619621,2519,fork,,
olive,0.05619621,2519,background,,
black,0.8349175,2515,spatula,,
yellow,0.8349175,2515,background,,
silver,0.8349175,2515,background,sides,
silver,0.99282515,2548,spatula,bottom,
black,0.99282515,2548,spatula,top,
green,0.99282515,2548,background,,
silver,0.1638772,2571,knife,,
silver,0.1463898,2610,fork,,
green,0.1463898,2610,background,,
silver,0.16131032,2379,butter_knife,head,
red,0.16131032,2379,butter_knife,,
silver,0.002549616,2565,spoon,,spoon
green,0.002549616,2565,background,,
silver,0.0025378466,2577,spoon,,
green,0.0025378466,2577,background,,
silver,0.90083164,2456,utensil,bottom,rectangle
yellow,0.90083164,2456,background,side,
silver,0.0019304295,2409,teaspoon,,
green,0.0019304295,2409,background,,
silver,0.950245,2557,kitchen_spoon,,
green,0.950245,2557,background,,
