colors,y,id,primary_concept,part,shapes
silver,0.025016535,2576,spatula,,
green,0.025016535,2576,background,,
yellow,0.98312336,2408,spoon,head,oval
yellow,0.98312336,2408,spoon,tail,rectangle
green,0.98312336,2408,background,middle,square
gold,0.15239285,2383,fork,,curve
blue,0.15239285,2383,fork,head,curve
yellow,0.04376847,2416,fork,,
black,0.04376847,2416,background,,
cornstalk,0.48707125,2510,knife,head,parallelogram
cornstalk,0.48707125,2510,knife,tail,oval
silver,0.76433897,2382,knife,head,rectangular
silver,0.76433897,2382,knife,bottom,rectangle
green,0.76433897,2382,background,middle,square
silver,0.8296821,2367,knife,,oval
green,0.8296821,2367,background,,square
silver,0.013113325,2531,butter_knife,,oval
black,0.013113325,2531,background,,square
silver,0.9997732,2551,spoon,,oval
green,0.9997732,2551,background,,square
silver,0.80385596,2589,fork,,rectangular
green,0.80385596,2589,fork,background,square
red,0.99613214,2441,background,top,semicircle
yellow,0.99613214,2441,spoon,head,oval
blue,0.99613214,2441,spoon,tail,rectangle
gold,0.82836115,2435,knife,,
black,0.82836115,2435,background,,
goldenrod,0.008130745,2561,fork,,
black,0.008130745,2561,background,,
darkgoldenrod,0.99628156,2527,spoon,,
green,0.99628156,2527,background,,
bollywood,0.7549785,2540,butter_knife,,
black,0.7549785,2540,background,,
black,0.0028506275,2422,spatula,,
grey,0.0028506275,2422,spatula,handle,
black,0.0028506275,2422,spatula,shadow,
green,0.0028506275,2422,background,,
silver,0.9966875,2599,spoon,,
olive,0.9966875,2599,background,,
black,0.14624485,2630,spatula,,
yellow,0.14624485,2630,background,,
black,0.33162728,2390,spatula,,
green,0.33162728,2390,background,,
gold,0.5651781,2443,fork,head,fork shape
silver,0.6110458,2528,cake_lifter,,
green,0.6110458,2528,background,,
grey,0.0153293535,2490,fork,,
green,0.0153293535,2490,background,,
gold,0.9995733,2400,spoon,,
gold,0.9995733,2400,spoon,,
green,0.9995733,2400,background,,
gold,0.9995733,2400,spoon,,
green,0.9995733,2400,background,,
gold,0.9995733,2400,spoon,,
green,0.9995733,2400,background,,
gold,0.9995733,2400,spoon,,
green,0.9995733,2400,background,,
black,0.005466983,2596,guitar,,
yellow,0.005466983,2596,background,,
silver,0.004362082,2587,spatula,head,square
white,0.9853538,2459,spoon,,spoon
blue,0.6682904,2519,fork,,
olive,0.6682904,2519,background,,
black,0.04911324,2515,spatula,,
yellow,0.04911324,2515,background,,
silver,0.04911324,2515,background,sides,
silver,0.0029702294,2548,spatula,bottom,
black,0.0029702294,2548,spatula,top,
green,0.0029702294,2548,background,,
silver,0.017821783,2571,knife,,
silver,0.60410136,2610,fork,,
green,0.60410136,2610,background,,
silver,0.76015496,2379,butter_knife,head,
red,0.76015496,2379,butter_knife,,
silver,0.9961106,2565,spoon,,spoon
green,0.9961106,2565,background,,
silver,0.99329877,2577,spoon,,
green,0.99329877,2577,background,,
silver,0.021978714,2456,utensil,bottom,rectangle
yellow,0.021978714,2456,background,side,
silver,0.9966265,2409,teaspoon,,
green,0.9966265,2409,background,,
silver,0.00833261,2557,kitchen_spoon,,
green,0.00833261,2557,background,,
